,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
283,kuytun,100,RU,1561484421,97,54.34,101.51,49.57,11.27
284,kunya,83,NG,1561484421,29,12.22,8.53,94.75,0.78
285,lebedyn,1,UA,1561484421,75,50.58,34.48,64.87,5.99
286,portland,75,US,1561483973,72,45.52,-122.67,66.99,4.7
287,petrovac,20,RS,1561484422,51,43.03,21.82,82.4,8.05
288,te anau,1,NZ,1561484318,83,-45.41,167.72,37.51,4.0
289,gouyave,20,GD,1561484422,74,12.16,-61.73,84.2,23.04
290,black river,20,JM,1561484422,62,18.03,-77.85,89.6,17.22
291,ostrowiec swietokrzyski,32,PL,1561484423,1,50.93,21.39,86.0,7.29
292,shimoda,19,JP,1561484423,91,34.7,138.93,68.0,2.91
293,great yarmouth,20,GB,1561484227,88,52.61,1.73,73.99,8.05
294,tyukhtet,100,RU,1561484424,71,56.54,89.31,56.05,4.94
295,ketchikan,40,US,1561484424,77,55.34,-131.65,60.8,9.17
296,aquiraz,20,BR,1561484404,58,-3.9,-38.39,84.2,20.8
297,xining,89,CN,1561484424,95,36.62,101.77,50.83,3.24
298,rameswaram,100,IN,1561484425,70,9.28,79.3,86.47,18.68
299,tocopilla,6,CL,1561484425,85,-22.09,-70.2,59.47,14.05
300,newport,75,GB,1561484319,88,51.59,-3.0,69.01,9.17
301,tsaratanana,11,MG,1561484426,76,-16.8,47.65,66.13,1.88
302,cherskiy,2,RU,1561484426,36,68.75,161.3,65.41,3.56
303,ostrovnoy,88,RU,1561484426,69,68.05,39.51,47.05,3.89
304,zhangye,100,CN,1561484427,74,38.94,100.46,59.65,5.23
305,hamilton,75,CA,1561484196,68,43.26,-79.87,78.01,14.99
306,airai,2,TL,1561484427,75,-8.93,125.41,65.41,6.08
307,conde,36,BR,1561484428,90,-11.81,-37.61,75.13,4.76
308,kitgum,99,UG,1561484428,92,3.3,32.88,69.19,4.0
309,kuching,75,MY,1561484428,88,1.56,110.34,82.0,3.36
310,swift current,20,CA,1561484428,63,50.29,-107.8,62.6,12.75
311,vardo,20,US,1561484429,54,39.62,-77.74,86.0,11.41
312,port keats,29,AU,1561484429,27,-14.25,129.55,62.71,14.07
313,matam,1,SN,1561484429,6,15.66,-13.26,112.21,7.54
314,sao filipe,2,CV,1561484326,82,14.9,-24.5,74.95,19.84
315,maningrida,44,AU,1561484429,61,-12.05,134.23,54.61,8.34
316,teeli,95,RU,1561484430,58,51.01,90.2,43.81,5.03
317,danielskuil,27,ZA,1561484430,23,-28.19,23.54,51.37,9.91
318,luderitz,0,NA,1561484318,87,-26.65,15.16,55.4,12.75
319,muros,20,ES,1561484430,60,42.77,-9.06,71.6,8.05
320,dharmanagar,100,IN,1561484430,95,24.37,92.17,78.73,7.4
321,yulara,0,AU,1561484431,36,-25.24,130.99,44.6,5.82
322,beringovskiy,100,RU,1561484431,91,63.05,179.32,42.37,12.84
323,parana,75,BR,1561484431,62,-7.52,-72.89,89.6,6.93
324,stephenville,1,US,1561484431,54,32.22,-98.2,88.0,9.17
325,magnitka,15,RU,1561484432,97,55.34,59.7,49.39,2.91
326,coruripe,54,BR,1561484432,65,-10.12,-36.18,79.99,11.25
327,klaksvik,99,FO,1561484432,76,62.23,-6.59,53.6,12.75
328,oksfjord,75,NO,1561484432,50,70.24,22.35,55.4,12.75
329,mehamn,75,NO,1561484432,71,71.03,27.85,51.8,18.34
330,ughelli,100,NG,1561484433,96,5.49,6.0,73.87,3.6
331,tilichiki,81,RU,1561484433,94,60.47,166.1,47.41,0.36
332,bambanglipuro,2,ID,1561484322,85,-7.95,110.28,75.85,12.46
333,chandbali,97,IN,1561484433,71,20.77,86.74,85.93,12.57
334,sal rei,20,CV,1561484433,69,16.18,-22.92,80.6,19.46
335,lake havasu city,1,US,1561484239,9,34.47,-114.34,99.0,17.22
336,illapel,0,CL,1561484415,52,-31.63,-71.17,54.07,8.61
337,waddan,0,LY,1561484434,9,29.16,16.14,101.59,8.9
338,houston,1,US,1561483961,69,29.76,-95.37,84.0,9.73
339,sumbe,20,AO,1561484434,80,-11.2,13.84,73.4,10.29
340,golovino,93,RU,1561484434,78,55.95,40.44,56.23,3.56
341,petrolia,40,CA,1561484435,57,42.88,-82.15,80.01,18.34
342,talcahuano,75,CL,1561484435,76,-36.72,-73.12,50.0,11.41
343,monrovia,75,LR,1561484244,94,6.33,-10.8,78.8,9.17
344,chemax,40,MX,1561484436,49,20.66,-87.94,93.2,11.41
345,bambous virieux,75,MU,1561484311,83,-20.34,57.76,73.99,14.99
346,kasempa,0,ZM,1561484436,47,-13.46,25.83,60.01,3.4
347,sitka,6,US,1561484437,38,37.17,-99.65,84.99,15.99
348,castelo branco,82,PT,1561484437,19,39.82,-7.5,88.0,5.01
349,newcastle,21,ZA,1561484437,54,-27.76,29.92,36.97,3.38
350,hami,100,CN,1561484438,31,42.84,93.51,72.97,14.03
351,paragominas,44,BR,1561484438,63,-3.0,-47.35,86.29,3.22
352,banihal,8,IN,1561484438,67,33.44,75.2,51.91,3.04
353,verkh-usugli,100,RU,1561484439,67,52.7,115.17,54.25,3.33
354,burla,82,RU,1561484439,53,53.34,78.33,68.47,9.28
355,fasa,20,IR,1561484440,14,28.94,53.65,91.4,4.7
356,pilar,0,AR,1561484440,50,-34.46,-58.91,53.01,20.8
357,svetlogorsk,40,RU,1561484304,48,53.14,59.15,64.4,17.9
358,quelimane,40,MZ,1561484440,78,-17.88,36.89,73.4,3.36
359,san cristobal,75,EC,1561484441,40,-0.39,-78.55,71.6,8.05
360,flin flon,75,CA,1561484441,63,54.77,-101.88,60.8,11.41
361,kudahuvadhoo,96,MV,1561484295,73,2.67,72.89,84.49,7.0
362,richards bay,92,ZA,1561484441,70,-28.77,32.06,69.37,7.52
363,kahului,20,US,1561484184,74,20.89,-156.47,78.8,5.66
364,dryden,75,CA,1561484154,53,49.79,-92.84,71.6,8.05
365,kano,89,NG,1561484442,65,11.99,8.53,81.97,18.48
366,batsfjord,40,NO,1561484442,61,70.63,29.72,55.4,9.17
367,mugumu,100,TZ,1561484442,88,-1.84,34.67,66.31,5.21
368,frontera,75,MX,1561484443,59,18.53,-92.64,89.6,5.5
369,almaznyy,20,RU,1561484443,47,48.03,40.04,77.0,4.47
370,oum hadjer,46,TD,1561484443,17,13.3,19.7,99.43,3.58
371,hervey bay,75,AU,1561484443,93,-25.3,152.85,60.01,8.05
372,paamiut,87,GL,1561484444,88,61.99,-49.67,40.75,21.59
373,kapit,94,MY,1561484444,96,2.02,112.94,74.05,0.6
374,bangassou,92,CF,1561484444,89,4.74,22.82,70.81,4.07
375,kontagora,86,NG,1561484444,68,10.4,5.47,82.33,3.31
376,luganville,94,VU,1561484304,98,-15.51,167.18,72.79,3.06
377,provideniya,98,RU,1561484445,81,64.42,-173.23,39.85,12.59
378,isangel,94,VU,1561484445,85,-19.55,169.27,75.85,7.78
379,salto,100,UY,1561484445,50,-31.39,-57.96,50.0,11.01
380,karpogory,97,RU,1561484446,68,64.0,44.44,52.63,3.36
381,pontianak,100,ID,1561484446,83,-0.02,109.34,83.41,10.54
382,chara,20,GR,1561484446,37,39.42,22.43,86.0,8.05
383,barcelos,20,PT,1561484153,82,41.53,-8.62,73.0,8.05
384,esperance,40,TT,1561484307,52,10.24,-61.45,89.6,18.34
385,visnes,75,NO,1561484447,82,59.36,5.22,64.0,8.05
386,mokrousovo,73,RU,1561484447,98,55.81,66.77,58.57,10.74
387,defiance,0,US,1561484261,54,41.28,-84.36,82.4,14.03
388,two rivers,1,US,1561484447,54,44.15,-87.57,81.0,14.99
389,ust-koksa,35,RU,1561484448,89,50.27,85.62,31.75,2.24
390,riyadh,0,SA,1561484154,8,24.63,46.72,102.2,5.82
391,techirghiol,0,RO,1561484448,73,44.06,28.6,80.6,6.93
392,victor harbor,0,AU,1561484448,75,-35.55,138.62,54.0,10.29
393,laurel,20,US,1561484449,49,45.67,-108.77,70.0,5.32
394,abu samrah,0,SY,1561484449,35,35.3,37.18,85.93,10.94
395,kwekwe,72,ZW,1561484449,48,-18.93,29.81,61.99,5.84
396,ukmerge,0,LT,1561484449,30,55.25,24.75,82.4,2.24
397,zhangjiakou,53,CN,1561484302,62,40.77,114.88,63.79,6.42
398,zell am see,40,AT,1561484450,40,47.32,12.8,87.8,4.7
399,vila velha,20,BR,1561484450,58,-3.71,-38.6,84.2,20.8
400,bataipora,0,BR,1561484450,35,-22.3,-53.27,85.75,9.06
401,margherita,74,IN,1561484450,95,27.29,95.67,76.03,2.75
402,broceni,100,LV,1561484451,72,56.7,22.53,66.49,3.29
403,santa isabel do rio negro,74,BR,1561484451,45,-0.41,-65.02,92.41,2.53
404,elista,0,RU,1561484451,29,46.31,44.27,87.8,13.42
405,pevek,17,RU,1561484315,77,69.7,170.27,35.53,19.04
406,razole,0,IN,1561484451,78,16.48,81.84,84.67,5.28
407,dosso,28,NE,1561484452,37,13.05,3.19,95.47,8.99
408,arequipa,0,PE,1561484452,12,-16.4,-71.54,68.0,9.17
409,osakarovka,2,KZ,1561484452,66,50.56,72.58,67.75,11.05
410,gimbi,86,ET,1561484453,89,8.81,37.79,55.87,1.12
411,flinders,40,AU,1561484453,100,-34.58,150.85,59.0,4.7
412,yumen,100,CN,1561484453,30,40.29,97.04,70.99,14.61
413,rankovce,0,SK,1561484454,45,48.81,21.46,86.0,3.36
414,fort nelson,20,CA,1561484454,56,58.81,-122.69,68.0,2.24
415,mersing,3,MY,1561484454,94,2.43,103.84,75.31,1.9
416,cusset,0,FR,1561484455,26,46.13,3.46,93.2,10.29
417,wynyard,63,CA,1561484455,79,51.77,-104.18,60.19,9.19
418,tezu,100,IN,1561484455,85,27.93,96.16,74.41,4.18
419,sao luiz gonzaga,100,BR,1561484455,86,-28.41,-54.96,58.21,17.92
420,yeppoon,40,AU,1561484220,77,-23.13,150.74,59.0,6.93
421,celestun,67,MX,1561484457,76,20.87,-90.4,84.31,13.4
422,beaufort,75,MY,1561484457,88,5.36,115.76,82.4,1.12
423,adrar,0,DZ,1561484458,4,27.87,-0.29,116.6,9.17
424,gravelbourg,0,CA,1561484458,48,49.88,-106.56,67.57,13.91
425,coahuayana,82,MX,1561484458,63,18.62,-100.35,87.73,1.63
426,havre-saint-pierre,1,CA,1561484458,42,50.23,-63.6,66.2,14.99
427,mathbaria,49,BD,1561484459,76,22.29,89.96,85.03,11.07
428,anadyr,0,RU,1561484459,70,64.73,177.51,44.6,11.18
429,ulaangom,55,MN,1561484459,48,49.98,92.07,53.89,8.39
430,santa marta,40,CO,1561484460,79,11.24,-74.21,86.0,8.05
431,jardim,0,BR,1561484460,33,-21.48,-56.15,86.47,13.04
432,vilyuysk,0,RU,1561484359,96,63.75,121.63,56.95,3.8
433,san juan,75,PR,1561484287,74,18.47,-66.12,91.0,11.41
434,abalak,65,NE,1561484462,56,15.46,6.28,80.17,29.75
435,qaqortoq,75,GL,1561484462,45,60.72,-46.03,64.4,3.36
436,gamba,37,CN,1561484463,68,28.28,88.52,45.79,6.38
437,fairbanks,1,US,1561484445,62,64.84,-147.72,66.0,3.36
438,mandera,84,ET,1561484463,50,3.94,41.86,84.49,13.24
439,atambua,18,ID,1561484463,67,-9.11,124.89,75.67,19.53
440,kutum,59,SD,1561484464,13,14.2,24.66,89.17,15.57
441,opuwo,0,NA,1561484464,60,-18.06,13.84,54.07,4.68
442,upata,5,VE,1561484213,74,8.02,-62.41,88.0,4.0
443,imbituba,0,BR,1561484464,48,-28.24,-48.67,82.4,13.87
444,dehloran,0,IR,1561484465,9,32.69,47.27,88.81,8.43
445,helong,13,CN,1561484465,97,25.94,116.13,70.27,0.87
446,montargis,0,FR,1561484418,43,48.0,2.74,91.99,3.36
447,jeremie,5,HT,1561484465,76,18.65,-74.12,81.97,3.2
448,sao felix do xingu,6,BR,1561484465,43,-6.64,-51.99,89.71,6.24
449,ahipara,33,NZ,1561484466,78,-35.17,173.16,57.49,14.43
450,svetlaya,100,RU,1561484466,91,46.54,138.33,63.25,4.16
451,charters towers,10,AU,1561484466,51,-20.07,146.27,55.87,10.45
452,takoradi,100,GH,1561484467,97,4.89,-1.75,73.15,7.92
453,tupik,7,RU,1561484467,91,54.43,119.94,45.43,1.92
454,dedougou,97,BF,1561484467,24,12.47,-3.47,101.59,2.37
455,gimli,59,CA,1561484467,44,50.63,-96.99,73.99,7.0
456,rosetown,6,CA,1561484468,65,51.55,-107.99,64.0,5.01
457,san martino di lupari,0,IT,1561484468,43,45.65,11.86,91.99,4.7
458,namatanai,100,PG,1561484327,82,-3.66,152.44,79.27,7.56
459,hasaki,20,JP,1561484468,100,35.73,140.83,64.4,3.36
460,chulman,1,RU,1561484468,95,56.84,124.9,44.53,2.19
461,teguldet,95,RU,1561484468,84,57.31,88.17,57.13,6.02
462,avera,40,US,1561484469,55,33.19,-82.53,93.0,8.05
463,geraldton,90,CA,1561484469,93,49.72,-86.95,57.2,8.05
464,sao francisco do sul,0,BR,1561484469,43,-26.24,-48.64,87.8,8.05
465,eirunepe,21,BR,1561484469,51,-6.66,-69.87,88.09,3.76
466,lima,90,PE,1561484437,77,-12.06,-77.04,64.4,5.82
467,guia lopes da laguna,0,BR,1561484470,33,-21.46,-56.11,86.47,13.04
468,vagay,100,RU,1561484470,94,57.94,69.02,54.43,9.55
469,whithorn,20,JM,1561484470,62,18.26,-78.04,89.6,17.22
470,remontnoye,0,RU,1561484470,29,46.56,43.66,87.8,13.42
471,uvat,100,RU,1561484471,88,59.14,68.9,53.53,5.64
472,sabang,72,PH,1561484471,81,13.72,123.58,81.79,7.25
473,agadez,48,NE,1561484471,38,16.97,7.99,88.27,34.02
474,victoria point,75,AU,1561484471,93,-27.58,153.3,61.0,9.17
475,tual,86,ID,1561484472,83,-5.67,132.75,78.91,21.03
476,morwell,0,AU,1561484472,91,-38.24,146.4,30.99,2.75
477,shubarshi,79,KZ,1561484439,48,48.59,57.19,74.95,12.19
478,verkhoyansk,94,RU,1561484307,81,67.55,133.39,59.29,2.75
479,vitim,0,RU,1561484472,76,59.44,112.57,54.79,3.62
480,bodden town,75,KY,1561484394,94,19.28,-81.25,88.0,3.36
481,salalah,75,OM,1561484297,89,17.01,54.1,84.2,9.17
482,gat,0,SN,1561484473,52,14.69,-16.54,87.8,14.99
483,northam,40,GB,1561484473,73,51.04,-4.21,71.01,9.17
484,buxton,90,GB,1561484473,82,53.26,-1.91,66.99,11.41
485,zaraza,94,VE,1561484474,61,9.35,-65.33,87.37,5.84
486,tauramena,72,CO,1561484474,94,5.01,-72.75,70.81,3.38
487,hambantota,100,LK,1561484474,82,6.12,81.12,82.69,19.3
488,egvekinot,15,RU,1561484474,77,66.32,-179.17,35.17,7.2
489,bilma,61,NE,1561484475,17,18.69,12.92,99.07,11.97
490,kyabe,89,TD,1561484475,87,9.45,18.94,75.49,14.65
491,khalkhal,0,IR,1561484475,54,37.62,48.53,63.25,8.21
492,namtsy,0,RU,1561484475,87,62.72,129.66,53.6,2.24
493,dudinka,75,RU,1561484476,86,69.41,86.18,39.2,11.18
494,junin,0,PE,1561484476,12,-16.45,-71.58,68.0,9.17
495,nizwa,0,OM,1561484348,49,22.93,57.53,81.79,4.7
496,eenhana,0,NA,1561484476,15,-17.48,16.34,78.8,3.36
497,togur,12,RU,1561484477,81,58.36,82.83,60.01,4.83
498,freeport,20,BS,1561484341,66,26.54,-78.7,89.6,6.93
499,igarka,17,RU,1561484477,58,67.47,86.57,46.33,9.04
500,yaan,80,NG,1561484477,89,7.38,8.57,75.13,7.02
501,krasnyy luch,0,RU,1561484478,35,55.97,38.97,71.6,8.95
502,olinda,75,EC,1561484478,69,-2.03,-79.75,80.6,4.7
503,villaviciosa,97,ES,1561484478,94,43.48,-5.43,64.99,5.01
504,broken hill,0,AU,1561484478,75,-31.97,141.45,46.4,9.17
505,nanzhang,0,CN,1561484479,76,31.78,111.84,67.57,3.56
506,pundaguitan,100,PH,1561484479,77,6.37,126.17,82.15,5.82
507,zhigansk,75,RU,1561484479,65,66.77,123.37,66.13,13.22
508,sorland,75,NO,1561484479,81,67.67,12.69,50.0,9.17
509,srednekolymsk,15,RU,1561484480,42,67.46,153.71,68.11,3.65
510,sao sebastiao,96,BR,1561484480,70,-3.15,-58.36,84.67,3.47
511,naze,100,NG,1561484480,97,5.43,7.07,73.51,3.58
512,laguna,5,MX,1561484257,19,27.52,-110.01,91.4,10.29
513,bonfim,40,BR,1561484481,50,-20.33,-44.24,80.6,5.82
514,bourail,98,NC,1561484481,95,-21.57,165.5,65.95,2.77
515,cockburn town,42,TC,1561484481,80,21.46,-71.14,81.25,11.54
516,hirara,84,JP,1561484482,79,24.8,125.28,81.97,6.87
517,adre,73,TD,1561484482,21,13.47,22.2,91.33,4.25
518,camacha,20,PT,1561484482,64,33.08,-16.33,71.6,13.87
519,santa rosa,0,AR,1561484251,30,-36.62,-64.29,54.61,23.42
520,sfantu gheorghe,75,RO,1561484485,88,44.65,26.83,72.0,11.41
521,karratha,0,AU,1561484486,41,-20.74,116.85,65.77,2.39
522,pimentel,57,BR,1561484486,81,-3.7,-45.5,83.05,3.04
523,alcaniz,9,ES,1561484486,58,41.05,-0.13,78.01,3.0
524,general roca,0,AR,1561484486,35,-39.03,-67.58,55.4,14.99
525,sakaiminato,20,JP,1561484487,88,35.55,133.23,64.4,3.36
526,bubaque,0,GW,1561484487,74,11.28,-15.83,79.81,15.61
527,salamanca,40,ES,1561484454,50,40.97,-5.66,79.0,6.93
528,vulcan,4,CA,1561484487,61,50.4,-113.26,63.0,3.0
529,holly hill,20,US,1561484488,59,29.24,-81.04,97.0,8.05
530,phangnga,20,TH,1561484488,74,8.45,98.53,82.4,11.41
531,buraydah,0,SA,1561484489,14,26.33,43.97,102.2,5.82
532,abha,40,SA,1561484489,47,18.22,42.5,77.0,4.7
533,san ignacio,40,CL,1561484489,61,-36.8,-72.03,55.0,6.93
534,saint-augustin,0,FR,1561484490,58,44.83,-0.61,87.01,9.17
535,karad,100,IN,1561484490,85,17.29,74.18,74.59,3.83
536,sambava,7,MG,1561484490,96,-14.27,50.17,67.03,1.95
537,peshkopi,20,AL,1561484491,47,41.68,20.43,89.6,4.7
538,ugoofaaru,72,MV,1561484491,76,5.67,73.0,83.77,11.92
539,tome,4,JP,1561484491,95,38.69,141.2,56.77,1.88
540,baherden,0,TM,1561484491,11,38.44,57.43,81.07,8.37
541,moba,43,CD,1561484492,54,-7.04,29.77,65.59,3.38
542,xinyang,3,CN,1561484492,76,32.13,114.07,69.91,4.9
543,tancheng,59,CN,1561484492,80,33.44,116.55,75.13,7.99
544,chicama,20,PE,1561484492,77,-7.84,-79.15,66.2,12.75
545,coquimbo,0,CL,1561484493,67,-29.95,-71.34,64.99,9.17
546,hovd,75,NO,1561484493,77,63.83,10.7,62.6,5.82
547,sola,0,FI,1561484493,87,62.78,29.36,57.0,6.93
548,tucumcari,1,US,1561484494,31,35.17,-103.73,89.6,6.93
549,labuhan,0,ID,1561484494,96,-2.54,115.51,71.71,1.43
550,hualmay,80,PE,1561484311,82,-11.1,-77.61,62.53,13.27
551,pindiga,4,NG,1561484494,71,9.98,10.93,81.07,10.85
552,ust-kuyga,56,RU,1561484494,58,70.0,135.55,66.31,1.86
553,conceicao do araguaia,100,BR,1561484495,41,-8.26,-49.26,88.09,6.22
554,mazurivka,0,UA,1561484495,61,49.27,24.21,80.6,6.71
555,skibbereen,75,IE,1561484495,77,51.55,-9.27,66.2,4.7
556,hobyo,0,SO,1561484495,78,5.35,48.53,77.65,25.32
557,filingue,22,NE,1561484496,25,14.35,3.32,102.13,10.04
558,andra,30,RU,1561484496,61,62.52,65.89,47.59,5.66
559,arkhangelsk,40,RU,1561484497,54,64.54,40.54,59.0,4.47
560,lewiston,75,US,1561484497,51,46.42,-117.02,66.0,6.93
561,fare,16,PF,1561484497,73,-16.7,-151.02,78.73,14.41
562,panjab,0,AF,1561484498,29,34.38,67.02,48.67,6.17
563,stillwater,75,US,1561484498,69,36.12,-97.06,88.0,8.05
564,alofi,100,NU,1561484320,88,-19.06,-169.92,73.4,13.87
565,los llanos de aridane,75,ES,1561484498,69,28.66,-17.92,75.2,8.05
566,sylvan lake,75,CA,1561484499,81,52.31,-114.09,53.6,10.29
